wsa,USSDEM24,PREDEM24,PREREP24,USSREP24,PRETOT24,USSTOT24
1,16771,16595,22426,21734,39021,38505
10,25782,25955,4449,4367,30404,30149
11,20797,21042,2815,2521,23857,23318
12,20012,20191,4959,4610,25150,24622
13,23294,23835,15596,16200,39431,39494
14,16836,16759,13617,13005,30376,29841
15,16513,16817,21712,21993,38529,38506
16,19940,20218,3163,2849,23381,22789
17,24397,24599,4556,4269,29155,28666
18,21865,22105,4255,4180,26360,26045
19,28924,28848,6931,6626,35779,35550
2,14237,14218,23153,22531,37371,36768
20,20103,19920,13516,12690,33436,32793
21,17569,17361,15976,15224,33337,32793
22,17977,18454,22593,22896,41047,40873
23,24437,24879,13726,14186,38605,38623
24,17625,18051,22074,22208,40125,39833
25,13620,13541,18559,17737,32100,31357
26,14982,15013,14220,13604,29233,28586
27,13255,13278,24881,24344,38159,37599
28,12813,12594,23967,23150,36561,35963
29,12486,11981,21474,20462,33455,32948
3,14023,14094,22606,22119,36700,36142
30,17681,17870,19563,19550,37433,37231
31,12694,12850,20484,19967,33334,32661
32,12412,12433,23982,23122,36415,35534
33,12624,12721,23584,23144,36305,35768
34,15961,15783,23652,22889,39435,38850
35,13097,12688,24002,22985,36690,36082
36,11419,10944,24713,23423,35657,34842
37,11300,11116,20116,19303,31232,30603
38,11841,11696,22185,21516,33881,33357
39,11732,11277,22766,21711,34043,33443
4,13495,13385,24533,23802,37918,37297
40,17953,17680,16019,15216,33699,33169
41,13665,13205,18884,17831,32089,31496
42,21977,21887,16131,15673,38018,37650
43,17682,17541,15774,15171,33315,32853
44,17371,17301,13872,13177,31173,30548
45,15386,15199,13116,12192,28315,27578
46,20085,20051,17020,16628,37071,36713
47,27201,27284,10622,10536,37906,37737
48,25122,25146,11404,11238,36550,36360
49,13481,13060,18552,17448,31612,30929
5,14091,14077,21775,21065,35852,35156
50,21365,21164,15791,15289,36955,36654
51,18365,17808,16589,15672,34397,34037
52,17860,18017,13348,12884,31365,30744
53,16382,16469,15068,14440,31537,30822
54,14445,14386,12498,11820,26884,26265
55,15977,15933,22379,21758,38312,37735
56,13395,13449,23678,23126,37127,36521
57,11748,11598,23961,22989,35559,34737
58,11869,12009,26113,25867,38122,37736
59,10192,10213,29395,28901,39608,39093
6,11402,11186,22016,20946,33202,32348
60,12682,12604,16891,16183,29495,28865
61,17523,17474,16705,16259,34179,33782
62,15909,16091,10197,9807,26288,25716
63,15948,15979,21416,21109,37395,37057
64,15737,15561,13679,12800,29240,28537
65,15571,15612,13535,12788,29147,28359
66,16341,16429,13573,13036,30002,29377
67,12155,11677,21968,21352,33645,33507
68,11509,11143,24933,23599,36076,35108
69,8412,7937,19453,18471,27390,26883
7,16416,16247,12039,11152,28286,27568
70,11169,10828,18512,17400,29340,28569
71,19224,18882,16460,15780,35342,35004
72,13675,13214,21275,20281,34489,33956
73,19455,19276,14021,13266,33297,32721
74,15166,14881,23366,22402,38247,37568
75,13025,12832,24637,23542,37469,36567
76,35091,34880,3733,3550,38613,38641
77,28841,28862,5905,5506,34767,34347
78,29307,29210,6685,6437,35895,35744
79,32105,32089,4974,5051,37063,37156
8,9840,9900,3542,2988,13442,12828
80,31133,31371,10649,11002,42020,42135
81,28040,28181,12233,12326,40414,40366
82,14925,15201,17916,17737,33117,32662
83,16105,16455,23499,23463,39954,39568
84,12255,12512,28252,28000,40764,40255
85,14671,14657,14837,14382,29494,29053
86,13164,12653,22590,21566,35243,34730
87,13691,13484,23174,22378,36658,36069
88,17105,17213,17093,16676,34306,33781
89,15319,15328,14712,14083,30040,29402
9,12722,12478,6075,5163,18553,17885
90,13475,13515,11019,10480,24534,23955
91,18223,18063,16475,15664,34538,33887
92,15317,15146,17459,16604,32605,31921
93,19160,19235,16248,15622,35483,34782
94,17997,17880,18673,18010,36553,36007
95,16618,16440,15658,14759,32098,31377
96,17913,17634,14874,14100,32508,32013
97,13523,13909,28347,28403,42256,41926
98,12889,13278,28052,28057,41330,40946
99,13542,13861,27129,27178,40990,40720
