district,race_status,candidate,party,incumbent,total_votes,percent_votes
District 1,Contested,Joel Kitchens,R,TRUE,24099,62
District 1,Contested,Renee Paplham,D,FALSE,14799,38
District 2,Contested,Shae Sortwell,R,TRUE,23189,63.3
District 2,Contested,Alicia Saunders,D,FALSE,13460,36.7
District 3,Contested,Ron Tusler,R,TRUE,23343,64.5
District 3,Contested,Jason Schmitz,D,FALSE,12839,35.5
District 4,Contested,David Steffen,R,TRUE,24629,66.2
District 4,Contested,Jane Benson,D,FALSE,12579,33.8
District 5,Contested,Joy Goeben,R,TRUE,22041,62.8
District 5,Contested,Greg Sampson,D,FALSE,13061,37.2
District 6,Contested,Elijah Behnke,R,TRUE,21940,67.4
District 6,Contested,Shirley Hinze,D,FALSE,10591,32.6
District 7,Contested,Karen Kirsch,D,FALSE,16011,58.6
District 7,Contested,Lee Whiting,R,FALSE,11289,41.4
District 8,Unopposed,Sylvia Ortiz-Velez,D,TRUE,NA,NA
District 9,Contested,Priscilla Prado,D,FALSE,12449,70.4
District 9,Contested,Ryan Antczak,R,FALSE,5234,29.6
District 10,Unopposed,Darrin Madison,D,TRUE,NA,NA
District 11,Unopposed,Sequanna Taylor,D,FALSE,NA,NA
District 12,Contested,Russell Goodwin,D,FALSE,18391,80.9
District 12,Contested,Deanna Alexander,I,FALSE,4331,19.1
District 13,Contested,Robyn Vining,D,TRUE,22539,57.3
District 13,Contested,Tom Michalski,R,TRUE,16796,42.7
District 14,Contested,Angelito Tenorio,D,FALSE,15637,52.7
District 14,Contested,Jim Engstrand,R,FALSE,12896,43.5
District 15,Contested,Adam Neylon,R,TRUE,22573,59.1
District 15,Contested,Sarah Harrison,D,FALSE,15597,40.9
District 16,Unopposed,Kalan Haywood,D,TRUE,NA,NA
District 17,Unopposed,Supreme Moore Omokunde,D,TRUE,NA,NA
District 18,Contested,Margaret Arney,D,FALSE,20800,82.4
District 18,Contested,Kevin Anderson,R,FALSE,4431,17.6
District 19,Unopposed,Ryan Clancy,D,TRUE,NA,NA
District 20,Contested,Christine Sinicki,D,TRUE,20017,61.1
District 20,Contested,Mike Moeller,R,FALSE,12739,38.9
District 21,Contested,Jessie Rodriguez,R,TRUE,16923,51.4
District 21,Contested,David Marstellar,D,FALSE,15991,48.6
District 22,Contested,Paul Melotik,R,TRUE,23563,58.1
District 22,Contested,Dana Glasstein,D,FALSE,17014,41.9
District 23,Contested,Deb Andraca,D,TRUE,23804,62.6
District 23,Contested,Laurie O'Brien Wolf,R,FALSE,14199,37.4
District 24,Contested,Dan Knodl,R,FALSE,23858,60
District 24,Contested,William Walter,D,FALSE,15887,40
District 25,Contested,Paul Tittl,R,TRUE,19587,61.8
District 25,Contested,Stephen Welch,D,FALSE,12123,38.2
District 26,Contested,Joe Sheehan,D,FALSE,14886,51.5
District 26,Contested,Amy Binsfeld,R,TRUE,14043,48.5
District 27,Contested,Lindee Brill,R,FALSE,25484,67.7
District 27,Contested,Kay Ladson,D,FALSE,12134,32.3
District 28,Contested,Rob Kreibich,R,FALSE,23975,66.2
District 28,Contested,Danielle Johnson,D,FALSE,12243,33.8
District 29,Contested,Treig Pronschinske,R,TRUE,21618,64.9
District 29,Contested,Terry Schoonover,D,FALSE,11675,35.1
District 30,Contested,Shannon Zimmerman,R,TRUE,20308,54.3
District 30,Contested,Alison Page,D,FALSE,17116,45.7
District 31,Contested,Tyler August,R,TRUE,20742,63.5
District 31,Contested,John Henderson,D,FALSE,11945,36.5
District 32,Contested,Amanda Nedweski,R,TRUE,24251,68
District 32,Contested,Michael Dhindsa,D,FALSE,11408,32
District 33,Contested,Robin Vos,R,TRUE,20557,57
District 33,Contested,Alan Kupsik,D,FALSE,10739,29.8
District 34,Contested,Rob Swearingen,R,TRUE,25039,64.1
District 34,Contested,Dennis Nitzel,D,FALSE,14027,35.9
District 35,Contested,Calvin Callahan,R,TRUE,24406,67.8
District 35,Contested,Elizabeth McCrank,D,FALSE,11608,32.2
District 36,Contested,Jeffrey Mursau,R,TRUE,24905,71
District 36,Contested,Ben Murray,D,FALSE,10182,29
District 37,Contested,Mark Born,R,TRUE,20977,68.6
District 37,Contested,LaToya Bates,D,FALSE,9608,31.4
District 38,Contested,William Penterman,R,TRUE,22165,67.3
District 38,Contested,Izzy Hassey Nevarez,D,FALSE,10746,32.7
District 39,Contested,Alex Dallman,R,TRUE,23263,69.6
District 39,Contested,Chris Gordon,D,FALSE,10167,30.4
District 40,Contested,Karen DeSanto,D,FALSE,17949,54.1
District 40,Contested,Jerry Helmer,R,FALSE,15220,45.9
District 41,Contested,Tony Kurtz,R,TRUE,19983,63.1
District 41,Contested,Julia Henley,D,FALSE,11664,36.9
District 42,Contested,Maureen McCarville,D,FALSE,20400,55.1
District 42,Contested,Rebecca Witherspoon,R,FALSE,16648,44.9
District 43,Contested,Brienne Brown,D,FALSE,16734,51.3
District 43,Contested,Scott Johnson,R,TRUE,15889,48.7
District 44,Contested,Ann Roe,D,FALSE,17335,56.5
District 44,Contested,Bruce Danielson,R,FALSE,13370,43.5
District 45,Unopposed,Clinton Anderson,D,TRUE,NA,NA
District 46,Contested,Joan Fitzgerald,D,FALSE,18980,52.4
District 46,Contested,Jenifer Quimby,R,FALSE,17218,47.6
District 47,Unopposed,Randy Udell,D,FALSE,NA,NA
District 48,Contested,Andrew Hysell,D,FALSE,23817,67.4
District 48,Contested,Lisa Rubrich,R,FALSE,11510,32.6
District 49,Contested,Travis Tranel,R,TRUE,19677,63
District 49,Contested,Scott Walker,D,FALSE,11536,37
District 50,Contested,Jenna Jacobson,D,TRUE,20417,56.3
District 50,Contested,Rich Johnson,R,FALSE,15840,43.7
District 51,Contested,Todd Novak,R,TRUE,17682,51.7
District 51,Contested,Elizabeth Grabe,D,FALSE,16522,48.3
District 52,Contested,Lee Snodgrass,D,TRUE,17681,57.3
District 52,Contested,Chad Cooke,R,FALSE,13200,42.7
District 53,Contested,Dean Kaufert,R,FALSE,15801,50.6
District 53,Contested,Duane Shukoski,D,FALSE,15436,49.4
District 54,Contested,Lori Palmeri,D,TRUE,14003,52.7
District 54,Contested,Tim Paterson,R,FALSE,12590,47.3
District 55,Contested,Nate Gustafson,R,TRUE,22609,60.4
District 55,Contested,Kyle Kehoe,D,FALSE,14802,39.6
District 56,Contested,Dave Murphy,R,TRUE,23789,64.8
District 56,Contested,Emily Tseffos,D,FALSE,12950,35.2
District 57,Contested,Kevin Petersen,R,TRUE,21988,62.4
District 57,Contested,Ruth Caves,D,FALSE,10012,28.4
District 58,Contested,Rick Gundrum,R,TRUE,26847,71.3
District 58,Contested,Deb Anderson,D,FALSE,10786,28.7
District 59,Contested,Robert Brooks,R,TRUE,29315,75.8
District 59,Contested,Jack Holzman,D,FALSE,9368,24.2
District 60,Contested,Jerry O'Connor,R,TRUE,17283,60.1
District 60,Contested,Joe Lavrenz,D,FALSE,11453,39.9
District 61,Contested,Bob Donovan,R,TRUE,17618,51.6
