wsa,winner,winner_party,winner_incumbent,R,D,wsa_margin,pre_margin,uss_margin,margin_gap_pre,margin_gap_uss
1,Joel Kitchens,R,TRUE,62,38,-24,-14.943235693600881,-12.889235164264385,-9.056764306399119,-11.110764835735615
2,Shae Sortwell,R,TRUE,63.3,36.7,-26.599999999999994,-23.908913328516768,-22.557658833768496,-2.6910866714832267,-4.042341166231498
3,Ron Tusler,R,TRUE,64.5,35.5,-29,-23.19346049046322,-22.400531237894967,-5.80653950953678,-6.599468762105033
4,David Steffen,R,TRUE,66.2,33.8,-32.400000000000006,-29.400284825149004,-27.63493042335845,-2.9997151748510014,-4.7650695766415545
5,Joy Goeben,R,TRUE,62.8,37.2,-25.599999999999994,-21.471605489233518,-19.837296620775973,-4.128394510766476,-5.762703379224021
6,Elijah Behnke,R,TRUE,67.4,32.6,-34.800000000000004,-32.618516956809835,-29.50414245084704,-2.1814830431901697,-5.295857549152963
7,Karen Kirsch,D,FALSE,41.4,58.6,17.200000000000003,14.876617407904973,19.094602437608827,2.3233825920950295,-1.8946024376088246
9,Priscilla Prado,D,FALSE,29.6,70.4,40.800000000000004,34.51193877001024,42.26446743080794,6.288061229989765,-1.464467430807936
13,Robyn Vining,D,TRUE,42.7,57.3,14.599999999999994,20.894727498668566,17.96222210968754,-6.294727498668571,-3.362222109687547
14,Angelito Tenorio,D,FALSE,45.2,54.8,9.599999999999994,10.343692388727943,12.838041620589124,-0.7436923887279487,-3.2380416205891294
15,Adam Neylon,R,TRUE,59.1,40.9,-18.200000000000003,-12.704715928261834,-14.231548330130368,-5.495284071738169,-3.9684516698696353
18,Margaret Arney,D,FALSE,17.6,82.4,64.80000000000001,67.71623672230653,67.9017085813016,-2.9162367223065218,-3.101708581301594
20,Christine Sinicki,D,TRUE,38.9,61.1,22.200000000000003,19.153008733102045,22.605434086542857,3.046991266897958,-0.4054340865428543
21,Jessie Rodriguez,R,TRUE,51.4,48.6,-2.799999999999997,4.154543000269967,7.150916354099962,-6.954543000269964,-9.95091635409996
22,Paul Melotik,R,TRUE,58.1,41.9,-16.200000000000003,-10.083562745145812,-12.034839625180439,-6.1164372548541905,-4.165160374819564
23,Deb Andraca,D,TRUE,37.4,62.6,25.200000000000003,28.89004015023961,26.541180125831755,-3.690040150239607,-1.3411801258317517
24,Dan Knodl,R,TRUE,60,40,-20,-10.02616822429907,-11.505535611176665,-9.97383177570093,-8.494464388823335
