wss,winner,winner_party,winner_incumbent,R,D,wss_margin,pre_margin,uss_margin,margin_gap_pre,margin_gap_uss
2,Eric Wimberger,R,TRUE,64.5,35.5,-29,-27.741838985902856,-25.596129807921674,-1.2581610140971442,-3.403870192078326
8,Jodi Habush Sinykin,D,FALSE,49.2,50.8,1.5999999999999943,2.497140519465341,0.6276764240042254,-0.8971405194653466,0.9723235759957689
10,Rob Stafsholt,R,TRUE,62.4,37.6,-24.799999999999997,-20.995076734078495,-19.01415085451565,-3.804923265921502,-5.785849145484349
12,Mary Felzkowski,R,TRUE,67.5,32.5,-35,-29.478806963554057,-26.25393991291198,-5.521193036445943,-8.746060087088019
14,Sarah Keyeski,D,FALSE,48.9,51.1,2.200000000000003,1.67427701674277,4.764697258466505,0.5257229832572328,-2.564697258466502
18,Kristin Alfheim,D,FALSE,46.7,53.3,6.599999999999994,8.863297173278688,10.865184274345047,-2.263297173278694,-4.265184274345053
20,Daniel Feyen,R,TRUE,70.1,29.9,-40.199999999999996,-35.0412683609233,-34.257384525138605,-5.158731639076699,-5.942615474861391
24,Patrick Testin,R,TRUE,58.7,41.3,-17.400000000000006,-13.434370935051575,-9.630981554204388,-3.9656290649484305,-7.769018445795618
28,Julian Bradley,R,TRUE,63.1,36.9,-26.200000000000003,-22.39996486142224,-23.03862737253856,-3.800035138577762,-3.161372627461443
30,Jamie Wall,D,FALSE,47.5,52.5,5,3.6363636363636376,5.347839059882031,1.3636363636363624,-0.34783905988203134
32,Brad Pfaff,D,TRUE,47.6,52.4,4.799999999999997,2.7175041271661424,5.693330784631323,2.0824958728338547,-0.8933307846313259
